збор,значење,примери,граматички определби,преводи на други јазици,извор
листопад,октомври,,,,
листопаден,,,,,
листопаден,,,,,
листопаден,,,,,
листопаден,,,,,
листостеблен,,,,,
листосфера,,,,,
листосфера,,,,,
листупад,ноември (диј. гевгелиски),,,,
лисци,,,,,
лит,,,,,
литар,,,,,
литерарност,,,,,
литературологија,,,,,
литорал,,,,,
литрак,(диј.),,,,
литро,,,,,
литургија,,,,,
литургија,,,,,
лифче,,,,,
лихва,,,,,
лихвар,,,,,
Лихнид,,,,,
лица,,,,,
лице,,,,,
лице,,,,,
лиценца,,,,,
лицка,,,,,
лицкан,,,,,
личен,,,,,
личи,,,,,
лична,,,,,
лично,,,,,
личност,,,,,
лиџба,,,,,
лиша,,,,,
лишај,,,,,
лишан,,,,,
лишен,,,,,
лиши,,,,,
лишка,"Навреда од трет степен упатена кон личност, најчесто типац, кој не одговарал на замислите на баба ми. Млитав, никаков, глуп, туп и неупотреблив. Плус со бричена келајца.",,,,
лоб,,,,,
Лобелија,растение,,,,
лоби,,,,,
лобист,,,,,
лобка,топка (диј. ),,,,
лобода,,,,,
лов,,,,,
лов,,,,,
ловен,,,,,
ловен,,,,,
ловец,,,,,
лови,,,,,
ловидбен,,,,,
ловор,,,,,
Ловор,растение,,,,
ловор,,,,,
ловци,,,,,
ловџија,,,,,
ловџиски,,,,,
ловџиство,,,,,
ловџиштво,,,,,
логика,,,,,
логор,,,,,
логотет,,,,,
лоен,,,,,
лоест,,,,,
ложа,,,,,
ложарницa,,,,,
ложен,,,,,
ложи,,,,,
ложилница,,,,,
лоза,,,,,
лоза,,,,,
Лоза,растение,,,,
лозар,,,,,
лозарство,,,,,
лозарство,,,,,
лозарство,,,,,
лозарство,,,,,
лозја,,,,,
лозје,,,,,
лозје,,,,,
лозје,,,,,
лозје,(диј. ),,,,
лозје,,,,,
лозница / лозник,,,,,
лозов,,,,,
лозова,,,,,
лозова,ракија,,,,
лои,,,,,
ЛОИ,,,,,
лојзе,лозје (диј. ),,,,
лојче,лажичка (диј. тетовски),,,,
лока,,,,,
локал,,,,,
локва,,,,,
локва,,,,,
локва,,,,,
локви,,,,,
локна,,,,,
локум,,,,,
лом,,,,,
Ломе,,,,,
Лондон,,,,,
лонец,,,,,
лонец,,,,,
лонци,,,,,
лонче,,,,,
лопата,,,,,
лопата,,,,,
лопув,,,,,
лопур,,,,,
Лордосис Цервикалис,,,,,
лосовиден,,,,,
лосос,,,,,
лотка,(диј.),,,,
лото,,,,,
лотос,,,,,
Лоу Синдром,,,,,
лочка,,,,,
лочки,,,,,
лош,,,,,
Лошка,,,,,
лошко,,,,,
лошо,,,,,
лошотија,,,,,
лубеница,,,,,
лубеница,,,,,
лубеница,,,,,
лубеничарка,,,,,
лубенички,,,,,
Луганск,,,,,
луѓе,,,,,
луд,,,,,
лудак,,,,,
лудница,,,,,
лудо,,,,,
Лудо Кеаставиче,растение,,,,
лудост,,,,,
лужење,,,,,
лузер,,,,,
лузна,,,,,
лузни,,,,,
лук,,,,,
Лука,,,,,
лукав,,,,,
луков,,,,,
луковица,,,,,
луковица,,,,,
луковичест,,,,,
луковичест,,,,,
Луковичесто Лутиче,растение,,,,
луксуз,,,,,
лукче,,,,,
лула,,,,,
лулан,,,,,
лулашка,,,,,
лулашка,,,,,
луле,,,,,
лулка,,,,,
лулки,,,,,
луна,,,,,
"Лунгур – клапчо, млитав",,,,,
лунѕа,,,,,
луња,,,,,
луња,,,,,
луња,,,,,
лупа,,,,,
лупа,,,,,
лупа,,,,,
лупан,,,,,
лупен,,,,,
лупи,,,,,
лупи,,,,,
лупилка,,,,,
лупина,,,,,
лупка,,,,,
лупнат,,,,,
лупне,,,,,
Лупус Нефритис,,,,,
лустер,,,,,
лута,,,,,
лутач,,,,,
лутеж,,,,,
лутен,,,,,
лутеница,,,,,
лутеница,,,,,
лути,,,,,
лутиче,,,,,
лутиче,,,,,
лутко,,,,,
луто,,,,,
Луфа,растение,,,,
луфта,,,,,
луцерка,детелина (диј.),,,,
луцерка,,,,,
луциден,,,,,
лушпа,,,,,
лушпа,,,,,
лушпа,(диј. ),,,,
лушпа,,,,,
лушпи,,,,,
луштен,,,,,
луштест,,,,,
лушти,,,,,
лушти,,,,,
Љ,,,,,
Љељта- тетка,,,,,
љиљак,,,,,
"Љимонт’б’тљии – лесно се лути, навредува",,,,,
љубен,,,,,
љуби,,,,,
љубим,,,,,
љубичица,,,,,
љубов,,,,,
љубовница,,,,,
људождер,,,,,
љуљка,лулашка (диј. ),,,,
Љунга/Љочка,"Не знам што навреда е, но често нашиве ја користат како замена за човек од Албанско потекло.",,,,
љупен,,,,,
љупи,,,,,
Љупка,,,,,
Љупчо,,,,,
љути,,,,,
љутка,,,,,
љуткав,"луд, ненормалне (диј. )",,,,
љутко,,,,,
љуфна,промаши,,,,
љуфна,промаши (диј. битолски),,,,
љуштење,,,,,
М,,,,,
м'ј,муви (диј. струмички),,,,
м'мла,,,,,
м'рвка,"парче, делче (диј.)",,,,
М’ркуч – црево,,,,,
м'ска,"1. грми (диј.)
2. тепа (диј.)",,,,
"М’ска – грмотевици или многу јаде, пие",,,,,
м'сна,удира (диј. ),,,,
м'чи,ќути (диј. ),,,,
маала,,,,,
маалски,,,,,
маана,,,,,
маани,,,,,
мава,,,,,
маван,,,,,
мавнат,,,,,
мавне,,,,,
мавта,,,,,
мавтан,,,,,
мавца,,,,,
мавче,,,,,
магаза,,,,,
Маѓар,,,,,
магаре,,,,,
магаре,,,,,
магаре,,,,,
Магарешки Трн,растение,,,,
магационер,,,,,
магационер,,,,,
магдонос,,,,,
магдонос,,,,,
маѓепсан,,,,,
магија,,,,,
магистер,,,,,
магистерски,,,,,
магистерски,,,,,
магла,,,,,
магла,,,,,
магла,,,,,
магленки,,,,,
магли,,,,,
маглив,,,,,
магма,,,,,
магнат,,,,,
магнет,,,,,
мадара,ќути (диј. ),,,,
маде,,,,,
мадем,,,,,
маден,,,,,
мадина,,,,,
Мадрид,,,,,
мае,,,,,
маевтика,,,,,
мажа,,,,,
маже,,,,,
маже,,,,,
мажен,,,,,
мажентна,,,,,
мажетина,,,,,
мажи,,,,,
мажјак,,,,,
мажов,,,,,
мажон,,,,,
мажот,,,,,
мажу,,,,,
маза,,,,,
мазга,,,,,
мазга,,,,,
мазги,,,,,
мазен,,,,,
мазен,,,,,
мази,,,,,
мазнет,,,,,
мазни,,,,,
мазник,,,,,
мазност,,,,,
маја,,,,,
Маја,,,,,
мајка,,,,,
мајќеа,маќеа,,,,
мајки,,,,,
мајкин,,,,,
Мајкл,,,,,
мајко,,,,,
мајмун,,,,,
мајмун,,,,,
мајмунџија,,,,,
Мајнаџии – ништо не му се допаѓа,,,,,
мајор,,,,,
мајоран,,,,,
Мајоран,растение,,,,
мајски,,,,,
мајстор,,,,,
мајтап,,,,,
мајтап,,,,,
мајтапи,,,,,
мајца,,,,,
мајца,,,,,
мајче,,,,,
мајчин,,,,,
мајчина душица,,,,,
Мајчина Душичка,растение,,,,
мака,,,,,
мака,,,,,
мака,,,,,
Мака,растение,,,,
макало,,,,,
макало,,,,,
макан,,,,,
макар,,,,,
макари,такви за шиење,,,,
маќеа,,,,,
македо(но)фон,,,,,
македонизам,,,,,
македонист,,,,,
македонистика,,,,,
Македонски Даб,растение,,,,
македонскобродски,,,,,
македонскобродски,,,,,
македонскоговоречки,,,,,
македонскокаменички,,,,,
македонство,,,,,
македонство,,,,,
македончи,,,,,
маки,,,,,
макијато,,,,,
Маклура,растение,,,,
маклура,,,,,
макнат,,,,,
макне,,,,,
маков,,,,,
макро,,,,,
Максим,,,,,
Мала Детелина,растение,,,,
Маларија,,,,,
малвер,,,,,
Мале,,,,,
малеее,брее (диј. ),,,,
мален,,,,,
малер,,,,,
малер,(диј. ),,,,
малецоо,мало (диј. кичевски),,,,
Мали,,,,,
мали,,,,,
Мали Сипаници,,,,,
Малигна Хипертермија,,,,,
малина,,,,,
малина,,,,,
малина,,,,,
малина,,,,,
малина,,,,,
малинка,,,,,
малинка,,,,,
малинка,,,,,
малку,,,,,
малограѓанство,,,,,
малограѓанство,,,,,
малограѓанство,,,,,
малограѓанштина,,,,,
малолетен,,,,,
малолетнички,,,,,
малопоседници,,,,,
малопреспански,,,,,
малопродажба,,,,,
малост,,,,,
малостопанственички,,,,,
малоумен,,,,,
малоумен,,,,,
малпигија,,,,,
малпигиовиден,,,,,
малски,,,,,
Малта,,,,,
малтезер,,,,,
малтер,,,,,
малти,,,,,
малу,,,,,
малце,,,,,
Маљее – извик за негодување,,,,,
Маљемате – заткулисни игри,,,,,
мама,,,,,
маме,,,,,
мамен,,,,,
мамец,,,,,
мами,,,,,
мамин,,,,,
мамка,,,,,
мамла,,,,,
мамут,,,,,
мамци,,,,,
мана,,,,,
манастир,,,,,
манга,,,,,
мангал,,,,,
мангало,демихисарски збор за уличарче,,,,
манган,,,,,
манго,,,,,
мангуп,,,,,
мангуп,,,,,
мандарина,,,,,
мандарина,,,,,
мандаринка,,,,,
мандаринка,,,,,
мандаринче,,,,,
мандат,,,,,
манијак,,,,,
манипулација,,,,,
манир,,,,,
"Манок – некој кој се прави фраер,паметен…",,,,,
мансарда,,,,,
мански,,,,,
мантил,,,,,
МАНУ,,,,,
манука,љубовница (диј.),,,,
Манука,растение,,,,
манџа,,,,,
манџа,,,,,
манџарак,гуштер (диј. ),,,,
манџи,,,,,
мапа,,,,,
мапи,,,,,
Маракуја,растение,,,,
марамица,,,,,
марамче,,,,,
марела,овошје,,,,
маржа,,,,,
маринија,,,,,
марифет,вештина,,,,
Марјан,,,,,
марка,,,,,
маркер,,,,,
маркет,,,,,
марки,,,,,
маркиз,,,,,
Марко,,,,,
марковден,,,,,
марксизам,,,,,
марксист,,,,,
марксистички,,,,,
маркуш,црево (диј. кавадаречки),,,,
мармалад,,,,,
Марсеј,,,,,
Марта,,,,,
Мартин,,,,,
мартинци,,,,,
марудија,нане (диј.),,,,
марула,,,,,
маршал,,,,,
маса,,,,,
маса,,,,,
маса,,,,,
масен,,,,,
масер,,,,,
масер,,,,,
маси,,,,,
маска,"1. за лице заштита
2. животно",,,,
маска,,,,,
Маскат,,,,,
маскембал,,,,,
маскулинизација,,,,,
масла,,,,,
масларник,,,,,
маслен,,,,,
Маслено Дрво,растение,,,,
маслинарник,,,,,
маслинка,,,,,
маслинка,,,,,
маслинка,,,,,
масло,,,,,
масло,,,,,
маслодаен,,,,,
Маслодајна Репка,растение,,,,
масна,,,,,
масно,,,,,
масон,,,,,
маст,,,,,
маст,,,,,
мастен,,,,,
мастер,,,,,
масти,,,,,
мастика,,,,,
мастика,"1. 
2.",,,,
мастика,,,,,
мастика,ракија,,,,
мастило,,,,,
мастит,,,,,
мастраф,,,,,
матарка,,,,,
Матеј,,,,,
математика,,,,,
матен,,,,,
матен,,,,,
матен,(диј.),,,,
матен,,,,,
матеница,,,,,
матеница,"1.
2. превриен млечен пијалок",,,,
мати,,,,,
матика,,,,,
матица,,,,,
матица,,,,,
матица (пчеларство,,,,,
матиче,мотиче (диј.),,,,
матичњаци,,,,,
матка,,,,,
матки,,,,,
матнина,,,,,
матно,,,,,
матност,,,,,
маторица,,,,,
маточина,,,,,
маточина,,,,,
Маточини,растение,,,,
Матрун,растение,,,,
матура,,,,,
матуф,луд,,,,
матуфа,(диј. ),,,,
маур,мачор (диј. кичевски),,,,
маус,,,,,
мафне,,,,,
мафта,,,,,
махер,,,,,
махер,,,,,
махериште,,,,,
маца,,,,,
мацан,вакан (диј. ),,,,
мацерација,,,,,
Мацерација,,,,,
мацка,,,,,
мацнат,,,,,
мацне,,,,,
мача,"мајка (диј. беровски, малешевски)",,,,
маче,,,,,
маче,,,,,
мачен,,,,,
маченик,,,,,
маченик,,,,,
мачеништво,,,,,
маченце,,,,,
мачи,,,,,
мачиште,,,,,
мачка,"1. глагол
2. животно",,,,
мачка,,,,,
мачка,,,,,
мачкан,,,,,
мачканица,,,,,
мачкар,,,,,
мачки,,,,,
мачкин,,,,,
Мачкини Опашки,растение,,,,
мачкица,,,,,
мачкица,,,,,
мачкиште,,,,,
мачно,,,,,
мачо,,,,,
мачор,,,,,
мачор,(диј. ),,,,
маџичка,,,,,
маџун,,,,,
маџун,,,,,
маџун,,,,,
Маџун – слатко од грозје,,,,,
маша,,,,,
маша,,,,,
маша,,,,,
маша,,,,,
машинист,,,,,
машинка,,,,,
машинобравар,,,,,
машки,,,,,
машко,,,,,
машкост,,,,,
машкост,,,,,
машна,,,,,
машна,,,,,
машничка,,,,,
машничка,,,,,
машта,,,,,
маштаб,,,,,
маштеница,,,,,
маштраба,ѓезве (диј. ),,,,
меана,,,,,
меана,,,,,
мебел,,,,,
мебел,,,,,
мебел,,,,,
мев,,,,,
мевце,,,,,
меѓа,,,,,
меѓа,,,,,
меѓа,,,,,
мегдан,,,,,
меѓечовечки,,,,,
меѓу,,,,,
меѓу,,,,,
меѓу-,,,,,
меѓуваријанта,,,,,
меѓувоен,,,,,
меѓуврснички,,,,,
меѓугенерациски,,,,,
меѓузависност,,,,,
меѓујазичен,,,,,
меѓународен,maja,,,,
меѓуплимен,,,,,
меѓусад,,,,,
меѓуслуга,,,,,
меѓутоа,,,,,
меѓучовечки,,,,,
меѓуша,,,,,
мед,,,,,
медал,,,,,
медар,,,,,
меден,,,,,
меден,,,,,
медијапан,,,,,
медитавец,,,,,
медицина,,,,,
медо,,,,,
медова,,,,,
медовина,ракија,,,,
медосен,,,,,
Медуника,растение,,,,
Медуники,растение,,,,
медуников,,седевка,,,
межа,меѓа,,,,
мезе,,,,,
мези,,,,,
мезозоик,,,,,
Мека,,,,,
мека,,,,,
мекица,,,,,
мекица,,,,,
мекне,,,,,
меко,,,,,
мекост,,,,,
мекотел,,,,,
мекоустен,,,,,
меле,,,,,
мелез,,,,,
мелем,,,,,
мелем,,,,,
мелен,,,,,
мелен,,,,,
мелзе,,,,,
мелиорација,,,,,
мелник,,,,,
мелница,,,,,
мелница,,,,,
меми,,,,,
мена,,,,,
менаџер,,,,,
мене,,,,,
менза,,,,,
Мензура,,,,,
мени,,,,,
мени,"1. книшка со храна
2. морски мени",,,,
Менингококна Инфекција,,,,,
меница,,,,,
менлив,,,,,
мента,,,,,
Ментеше – шарка,,,,,
ментол,,,,,
ментор,,,,,
мера,,,,,
мера,,,,,
мерак,,,,,
мерак,,,,,
мерач,,,,,
мербена,,,,,
мердевени,скали,,,,
мердевени,скали (диј. радовишки),,,,
мерен,,,,,
мери,,,,,
мерка,,,,,
мерка,,,,,
меркан,,,,,
мерки,,,,,
Меркур,,,,,
мермер,,,,,
мермер,,,,,
мертиња,(диј. ),,,,
мерфетлиски,,,,,
меса,,,,,
месар,,,,,
месар,,,,,
месарница,,,,,
месарница,,,,,
месарница,,,,,
месен,,,,,
месест,,,,,
месец,,,,,
месец,,,,,
Месечарење,,,,,
месечев,,,,,
Месечина,,,,,
меси,,,,,
меси,,,,,
месинг,,,,,
месно,,,,,
меснопреработувачки,,,,,
месност,,,,,
месност,,,,,
месо,,,,,
месо,,,,,
месо,,,,,
месојад,,,,,
месојаден,,,,,
месорезник,машина за сечење месо,,,,
месри,влечки (диј. ресенски),,,,
места,,,,,
местен,,,,,
мести,,,,,
место,,,,,
местоположба,,,,,
местоположба,,,,,
местоположба,,,,,
меструален,,,,,
мета,,,,,
метајазичен,,,,,
метал,,,,,
металостругар,,,,,
металургија,,,,,
металургија,,,,,
металуршки,,,,,
метаморфен,,,,,
метар,,,,,
метар,,,,,
метафоризација,,,,,
метач,,,,,
мете,,,,,
метеж,,,,,
метен,,,,,
мети,,,,,
метил,,,,,
метла,,,,,
метли,,,,,
метличка,,,,,
метличка,,,,,
метнат,,,,,
метне,,,,,
метод,,,,,
метох,,,,,
метри,,,,,
метро,,,,,
меур,,,,,
Меуреста Слезовина,растение,,,,
механизам,,,,,
механизација,,,,,
механичар,,,,,
механичар,,,,,
мехатроника,,,,,
мехатроничар,,,,,
меца,,,,,
меч,,,,,
мече,,,,,
мечка,,,,,
мечка,,,,,
мечкар,за маскембал по Василица,,,,
мечки,,,,,
мечкин,,,,,
Мечкин Лук,растение,,,,
мечкојад,,,,,
мечок,,,,,
мечта,,,,,
меџлис,,,,,
меша,,,,,
мешавина,,,,,
мешалка,"1.
2.
3.
4. голема дрвена лажица",,,,
мешан,,,,,
меше,,,,,
мешле,,,,,
мешлест,,,,,
мешнат,,,,,
мешне,,,,,
Мешуница,растение,,,,
мешунка,,,,,
мешункаст,,,,,
МЖ,,,,,
ми,ние,,,,
Миа,,,,,
миг,,,,,
мигдал,бадем (диј. велешки),,,,
Мигдонија,,,,,
миѓу,меѓу,,,,
мие,,,,,
Миеза,,,,,
миен,,,,,
миженица,,,,,
миженка,,,,,
мижи,,,,,
мижи,,,,,
мижибаба,,,,,
мижибаба,,,,,
мижибаба,,,,,
мижитатара,,,,,
мизансцен,,,,,
мизерија,(диј. ),,,,
Мизиска Бука,растение,,,,
мијалник,,,,,
мијалник,(диј. ),,,,
мијалник,,,,,
Мијастенија Гравис,,,,,
микроб,,,,,
микробиолог,,,,,
микробиологија,,,,,
микробиолошки,,,,,
микрокосмос,,,,,
микрон,,,,,
микроорганизам,,,,,
микрорешетка,,,,,
микса,,,,,
миксан,,,,,
миксер,,,,,
Мила,,,,,
Милан,,,,,
Миле,,,,,
Милев,,,,,
милен,,,,,
миленик,,,,,
милениум,,,,,
миленце,,,,,
милиметар,,,,,
милицаец,,,,,
милја,,,,,
Милка,,,,,
Милко,,,,,
милкшејк,,,,,
мило,,,,,
милозвучен,,,,,
милозвучност,,,,,
милост,,,,,
милостина,,,,,
миља,,,,,
миметичар,,,,,
мимоза,,,,,
мина,"1.
2.
3.",,,,
мина,"1. воена, нагазна, бомба
2. за пишување во тенкоминец
3.",,,,
мина,,,,,
минаре,,,,,
минат,,,,,
Минд’ље – бадеми,,,,,
миндер,дрвена полица на ѕид (диј. беровски),,,,
миндер,,,,,
миндиљка,,,,,
мине,,,,,
мини,,,,,
минич,,,,,
минлив,,,,,
минливост,,,,,
мински,,,,,
минус,,,,,
минус,,,,,
Минхен,,,,,
Миоглобинурија,,,,,
Миокардитис,,,,,
миом,,,,,
миоцен,,,,,
Мира,,,,,
мираз,,,,,
Мире,,,,,
мирен,,,,,
миризлив,,,,,
мирис,,,,,
Мирислива Цедрела,растение,,,,
Мирка,,,,,
Мирко,,,,,
мирно,,,,,
мироносец,,,,,
мирски,,,,,
мирта,,,,,
мирти,,,,,
миртовиден,,,,,
мирудија,нане / зачин,,,,
Мирче,,,,,
Мирчо,,,,,
миса,,,,,
мисир,,,,,
мисир,,,,,
мисирка,,,,,
мисирка,"1.
2. пченка (диј. винички)",,,,
мисирка,,,,,
мискимбре,,,,,
Мискимбре – растение здравец (ставен во домашно приготвено слатко),,,,,
Мискин- неугледен,,,,,
мисла,,,,,
мисла,,,,,
мислен,,,,,
мисли,,,,,
мислител,,,,,
мистик,,,,,
мисур,,,,,
мисур,,,,,
мита,,,,,
митинг,,,,,
мито,,,,,
мито,,,,,
митра,,,,,
митра,,,,,
Митре,,,,,
митри,,,,,
митровден,,,,,
Митровден,,,,,
митровски,октомври (диј. гевгелиски),,,,
митрополит,,,,,
митски,,,,,
мифка,,,,,
Михај,,,,,
мица,,,,,
Мице,,,,,
мицеларен,,,,,
Мицко,,,,,
мишел,,,,,
мишка,,,,,
мишка,,,,,
Мишка – пазув,,,,,
мишки,"пазуви, глувци (диј. )",,,,
Мјанмар,,,,,
мјау,,,,,
мќеа,маќеа,,,,
мкне,,,,,
мкнет,,,,,
младеж,,,,,
младенци,,,,,
младенче,,,,,
младица,1. риба (Hucho hucho),,,,
младич,,,,,
младолик,,,,,
младоликост,,,,,
младост,,,,,
млазен,,,,,
млако,,,,,
млакост,,,,,
млатен,,,,,
млати,,,,,
млацка,,,,,
млачи,,,,,
млека,,,,,
млекар,,,,,
млекар,,,,,
млекара,,,,,
млекарница,,,,,
млекарница,,,,,
млеко,,,,,
млеко,,,,,
млекца,,,,,
млекце,,,,,
млеч,,,,,
млеч,матична,,,,
Млеч,растение,,,,
млечен,,,,,
млеченик,"1. 
2. слатко",,,,
млечка,,,,,
млечка,,,,,
млечка,,,,,
млечник,,,,,
млечност,,,,,
мливо,,,,,
млин,,,,,
млитав,,,,,
млитав,,,,,
млитав,(диј.),,,,
мљацка,,,,,
мљацка,,,,,
мљацне,,,,,
многу,,,,,
многу,,,,,
многубојка,,,,,
многуброен,,,,,
многуглаголив,,,,,
многудетен,,,,,
многузборен,,,,,
многуклеточен,,,,,
многукратен,,,,,
Многулистен Волчјак,растение,,,,
многуперка,,,,,
многупочитуван,,,,,
множен,,,,,
множење,,,,,
множество,,,,,
множи,,,,,
множител,,,,,
мноштва,,,,,
мноштво,,,,,
мноштво,,,,,
мобилара,,,,,
мобилност,,,,,
мов,,,,,
мовлив,,,,,
мовче,,,,,
могила,,,,,
мода,,,,,
модар,,,,,
модар,,,,,
модел,,,,,
моделираност,,,,,
модем,,,,,
моден,,,,,
моди,,,,,
модрица,,,,,
модричица,,,,,
модро,,,,,
модроврана,,,,,
модроног,,,,,
модроок,,,,,
модул,,,,,
мое,,,,,
можда,,,,,
може,,,,,
можеби,,,,,
можен,,,,,
можност,,,,,
мозок,,,,,
мозок,,,,,
мозол,,,,,
мозолка,,,,,
Мозочен Удар,,,,,
мои,,,,,
моја,,,,,
мока,мака (диј. долнорекански),,,,
мокар,,,,,
мокар,,,,,
моќен,,,,,
моќи,,,,,
моклиште,,,,,
мокрен,,,,,
мокри,,,,,
мокри,,,,,
мокро,,,,,
молам,,,,,
молба,,,,,
молбен,,,,,
молби,,,,,
молекуларен,,,,,
молекуларен,,,,,
молен,,,,,
молер,,,,,
молер,,,,,
молерисување,,,,,
молец,,,,,
молзе,,,,,
молзен,,,,,
моли,,,,,
молив,,,,,
молив,,,,,
молив,,,,,
молив,,,,,
молк,,,,,
молња,,,,,
молњи,,,,,
молска,,,,,
молски,,,,,
молскот,,,,,
молсне,,,,,
молци,,,,,
Молчеста Орхидеја,растение,,,,
молчи,,,,,
мома,,,,,
мома,,,,,
моме,,,,,
момент,,,,,
момин,,,,,
Момина Солза,растение,,,,
момиче,,,,,
момиче,(диј. ),,,,
момичиште,,,,,
момичка,,,,,
момичка,(диј. ),,,,
момички,пржени лепчиња (диј. штипски),,,,
момички,"1.
2. пржени лепчиња/кришки",,,,
момиште,,,,,
момок,,,,,
моморуска,,,,,
момци,,,,,
момче,,,,,
момченце,,,,,
монарх,,,,,
монах,,,,,
монета,,,,,
монетарен,,,,,
монист,,,,,
монодисциплинарен,,,,,
моноетничност,,,,,
монокотиледони,,,,,
моном,,,,,
Мононуклеоза,,,,,
моносемичен,,,,,
монотерпен,,,,,
монофтонг,,,,,
монофтоншки,,,,,
монструм,,,,,
монтажа,,,,,
мопед,,,,,
мопен,,,,,
мора,,,,,
морал,,,,,
моралност,,,,,
морач,,,,,
морач,,,,,
морач,,,,,
море,,,,,
морепловец,,,,,
морепловец,,,,,
мори,,,,,
морија,,,,,
Морил,,,,,
морков,,,,,
морков,,,,,
мормон,,,,,
морнар,,,,,
морнар,,,,,
мороска,,,,,
морски,,,,,
Морско Грозје,растение,,,,
моруска,,,,,
морфологија,,,,,
Москва,,,,,
мосница,,,,,
мост,,,,,
мосте,,,,,
Мостра,,,,,
мота,,,,,
мотавило,,,,,
мотан,,,,,
мотел,,,,,
мотив,,,,,
мотика,,,,,
мотка,,,,,
моткан,,,,,
мото,,,,,
мотовило,,,,,
мотокултиватор,,,,,
мотор,,,,,
моча,,,,,
мочан,,,,,
мочварка,,,,,
мочен,,,,,
мочка,,,,,
мочки,,,,,
мочко,,,,,
мочла,,,,,
мочнат,,,,,
мочне,,,,,
мочуриште,,,,,
мочуриште,,,,,
мочуриштен,,,,,
мочурлив,,,,,
мошти,,,,,
мошус,,,,,
Мошусен Слез,растение,,,,
мрава,,,,,
мрава,,,,,
мравиште,,,,,
мравја,,,,,
мравји,,,,,
Мравји Дрва,растение,,,,
мравка,,,,,
мравка,,,,,
мравки,,,,,
мравче,,,,,
мраз,,,,,
мразен,,,,,
мрази,,,,,
мразовец,"1.
2. цветно растение",,,,
мразој,,,,,
мразулец,,,,,
мрак,,,,,
мрамор,,,,,
мранѕул,,,,,
мрачен,,,,,
мрачно,,,,,
мрачност,,,,,
мрва,,,,,
мрви,,,,,
мрвка,,,,,
мрвки,,,,,
мрвче,,,,,
мрда,,,,,
мрдан,,,,,
мрднат,,,,,
мрдне,,,,,
мрежа,,,,,
мрежа,,,,,
мрежен,,,,,
мрежест,,,,,
мрена,,,,,
мрена,,,,,
мрест,,,,,
мрза,,,,,
мрзен,,,,,
мрзи,,,,,
мрзлив,,,,,
мрзливост,,,,,
мрзне,,,,,
мрзнет,,,,,
мрзок,,,,,
мрмот,,,,,
мрсен,,,,,
мрси,,,,,
мрсно,,,,,
мрсул,,,,,
Мртва Коприва,растение,,,,
мртвец,,ракавец,,,
мртвило,,,,,
мртов,,,,,
мртов,,,,,
мртовец,,,,,
мртовец,,,,,
мртовечки,"1.
2. плашт",,,,
Мрфка – парче месо,,,,,
мрфки,месо (диј. ),,,,
мрцка,,,,,
мрчи,,,,,
мрша,,,,,
мршав,,,,,
мрши,,,,,
мршојадец,,,,,
мршојадец,,,,,
мрштен,,,,,
мршти,,,,,
мува,,,,,
мува (се),гл.,,,,
муван,,,,,
мувар,"1.
2. птица",,,,
муварче,птица,,,,
муви,,,,,
мувла,,,,,
мувла,,,,,
мувли,,,,,
мувта,,,,,
мувтан,,,,,
мугра,,,,,
мугра,,,,,
мугри,,,,,
мудар,,,,,
мудрец,,,,,
мудрец,,,,,
мудрец,,,,,
мудро,,,,,
мудрост,,,,,
мудур,,,,,
муза,,,,,
муза,,,,,
музеј,,,,,
мука,,,,,
мукне,,,,,
Мукополисахаридоза,,,,,
муктар,,,,,
мула,,,,,
муле,,,,,
муле,,,,,
муле,,,,,
мултидисциплинарен,,,,,
Мултиплекс Склероза,,,,,
мумла,,,,,
мумлан,,,,,
мумуруска,пченка (диј. ),,,,
мунгос,,,,,
мундир,,,,,
муренка,,,,,
мурминка,дудинка на охридски,,,,
мусака,,,,,
мускат,,,,,
мускатен,,,,,
мускатен,,,,,
мускул,,,,,
Мускулни Дистрофии,,,,,
мусли,,,,,
муслин,,,,,
мустаќ,,,,,
мустаќи,,,,,
мустанг,,,,,
мутав,,,,,
мутант,,,,,
мутвак,,,,,
"Мутл`к – сигурно,бездруго!",,,,,
Муу – мува,,,,,
муфте,гага,,,,
муфте,"бесплатно, гратис (диј. кумановски)",,,,
муфте,беспари (диј. ),,,,
муце,,,,,
муце,,,,,
муцка,,,,,
муцка,,,,,
муцка,,,,,
муцки,,,,,
муцун,,,,,
мучка,,,,,
мучкан,,,,,
Мушкатла,растение,,,,
мушмула,,,,,
мушмула,,,,,
Мушмулица,растение,,,,
мушнат,,,,,
мушница,мува (диј. македонскокаменички),,,,
мштеа,маќеа,,,,
Н,,,,,
н'к'лк'н,,,,,
Н’лне – дрвени кломпи,,,,,
на преден план,,,,,
набабрен,,,,,
набафтана,"згора, преку",,,,
набафтана,"згора, преку, невнимателно (диј. битолски)",,,,
набедреник,,,,,
наблизина,,,,,
набој,,,,,
набој,,,,,
набој,,,,,
набор,,,,,
набоцкува,,,,,
набран,,,,,
набран,,,,,
навала,,,,,
наваму,,,,,
наведен,,,,,
навек,,,,,
навивачиште,,,,,
навидум,,,,,
навидум,(диј. ),,,,
навидум,,,,,
навика,,,,,
навика,"1. глагол
2. именка",,,,
навлака,,,,,
навод,,,,,
навод,,,,,
наводени,,,,,
наводник,,,,,
наводнува,,,,,
наводнување,,,,,
наводнување,,,,,
навраќа,,,,,
навраќање,,,,,
